ID,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0062,Poliwrath,"Poison,Ghost",510,90,95,95,70,90,70
0063,Abra,"Poison,Ghost",310,25,20,15,105,55,90
0064,Kadabra,"Poison,Ghost",400,40,35,30,120,70,105
0065,Alakazam,"Poison,Ghost",500,55,50,45,135,95,120
0065,Alakazam Mega Alakazam,"Poison,Ghost",600,55,50,65,175,105,150
0066,Machop,"Poison,Ghost",305,70,80,50,35,35,35
0067,Machoke,"Poison,Ghost",405,80,100,70,50,60,45
0068,Machamp,"Poison,Ghost",505,90,130,80,65,85,55
0069,Bellsprout,"Poison,Ghost",300,50,75,35,70,30,40
0070,Weepinbell,"Poison,Ghost",390,65,90,50,85,45,55
0071,Victreebel,"Poison,Ghost",490,80,105,65,100,70,70
0072,Tentacool,"Poison,Ghost",335,40,40,35,50,100,70
0073,Tentacruel,"Poison,Ghost",515,80,70,65,80,120,100
0074,Geodude,"Poison,Ghost",300,40,80,100,30,30,20
0074,Geodude Alolan Geodude,"Poison,Ghost",300,40,80,100,30,30,20
0075,Graveler,"Poison,Ghost",390,55,95,115,45,45,35
0075,Graveler Alolan Graveler,"Poison,Ghost",390,55,95,115,45,45,35
0076,Golem,"Poison,Ghost",495,80,120,130,55,65,45
0076,Golem Alolan Golem,"Poison,Ghost",495,80,120,130,55,65,45
0077,Ponyta,"Poison,Ghost",410,50,85,55,65,65,90
0077,Ponyta Galarian Ponyta,"Poison,Ghost",410,50,85,55,65,65,90
0078,Rapidash,"Poison,Ghost",500,65,100,70,80,80,105
0078,Rapidash Galarian Rapidash,"Poison,Ghost",500,65,100,70,80,80,105
0079,Slowpoke,"Poison,Ghost",315,90,65,65,40,40,15
0079,Slowpoke Galarian Slowpoke,"Poison,Ghost",315,90,65,65,40,40,15
0080,Slowbro,"Poison,Ghost",490,95,75,110,100,80,30
0080,Slowbro Mega Slowbro,"Poison,Ghost",590,95,75,180,130,80,30
0080,Slowbro Galarian Slowbro,"Poison,Ghost",490,95,100,95,100,70,30
0081,Magnemite,"Poison,Ghost",325,25,35,70,95,55,45
0082,Magneton,"Poison,Ghost",465,50,60,95,120,70,70
0083,Farfetch'd,"Poison,Ghost",377,52,90,55,58,62,60
0083,Farfetch'd Galarian Farfetch'd,"Poison,Ghost",377,52,95,55,58,62,55
0084,Doduo,"Poison,Ghost",310,35,85,45,35,35,75
0085,Dodrio,"Poison,Ghost",470,60,110,70,60,60,110
0086,Seel,"Poison,Ghost",325,65,45,55,45,70,45
0087,Dewgong,"Poison,Ghost",475,90,70,80,70,95,70
0088,Grimer,"Poison,Ghost",325,80,80,50,40,50,25
0088,Grimer Alolan Grimer,"Poison,Ghost",325,80,80,50,40,50,25
0089,Muk,"Poison,Ghost",500,105,105,75,65,100,50
0089,Muk Alolan Muk,"Poison,Ghost",500,105,105,75,65,100,50
0090,Shellder,"Poison,Ghost",305,30,65,100,45,25,40
0091,Cloyster,"Poison,Ghost",525,50,95,180,85,45,70
0092,Gastly,"Poison,Ghost",310,30,35,30,100,35,80
0093,Haunter,"Poison,Ghost",405,45,50,45,115,55,95
0094,Gengar,"Poison,Ghost",500,60,65,60,130,75,110
0094,Gengar Mega Gengar,"Poison,Ghost",600,60,65,80,170,95,130
0095,Onix,"Poison,Ghost",385,35,45,160,30,45,70
0096,Drowzee,"Poison,Ghost",328,60,48,45,43,90,42
0097,Hypno,"Poison,Ghost",483,85,73,70,73,115,67
0098,Krabby,"Poison,Ghost",325,30,105,90,25,25,50
0099,Kingler,"Poison,Ghost",475,55,130,115,50,50,75
0100,Voltorb,"Poison,Ghost",330,40,30,50,55,55,100
0100,Voltorb Hisuian Voltorb,"Poison,Ghost",330,40,30,50,55,55,100
0101,Electrode,"Poison,Ghost",490,60,50,70,80,80,150
0101,Electrode Hisuian Electrode,"Poison,Ghost",490,60,50,70,80,80,150
0102,Exeggcute,"Poison,Ghost",325,60,40,80,60,45,40
0103,Exeggutor,"Poison,Ghost",530,95,95,85,125,75,55
0103,Exeggutor Alolan Exeggutor,"Poison,Ghost",530,95,105,85,125,75,45
0104,Cubone,"Poison,Ghost",320,50,50,95,40,50,35
0105,Marowak,"Poison,Ghost",425,60,80,110,50,80,45
0105,Marowak Alolan Marowak,"Poison,Ghost",425,60,80,110,50,80,45
0106,Hitmonlee,"Poison,Ghost",455,50,120,53,35,110,87
0107,Hitmonchan,"Poison,Ghost",455,50,105,79,35,110,76
0108,Lickitung,"Poison,Ghost",385,90,55,75,60,75,30
0109,Koffing,"Poison,Ghost",340,40,65,95,60,45,35
0110,Weezing,"Poison,Ghost",490,65,90,120,85,70,60
0110,Weezing Galarian Weezing,"Poison,Ghost",490,65,90,120,85,70,60
0111,Rhyhorn,"Poison,Ghost",345,80,85,95,30,30,25
0112,Rhydon,"Poison,Ghost",485,105,130,120,45,45,40
0113,Chansey,"Poison,Ghost",450,250,5,5,35,105,50
0114,Tangela,"Poison,Ghost",435,65,55,115,100,40,60
0115,Kangaskhan,"Poison,Ghost",490,105,95,80,40,80,90
0115,Kangaskhan Mega Kangaskhan,"Poison,Ghost",590,105,125,100,60,100,100
0116,Horsea,"Poison,Ghost",295,30,40,70,70,25,60
0117,Seadra,"Poison,Ghost",440,55,65,95,95,45,85
0118,Goldeen,"Poison,Ghost",320,45,67,60,35,50,63
0119,Seaking,"Poison,Ghost",450,80,92,65,65,80,68
0120,Staryu,"Poison,Ghost",340,30,45,55,70,55,85
0121,Starmie,"Poison,Ghost",520,60,75,85,100,85,115
0122,Mr. Mime,"Poison,Ghost",460,40,45,65,100,120,90
0122,Mr. Mime Galarian Mr. Mime,"Poison,Ghost",460,50,65,65,90,90,100
0123,Scyther,"Poison,Ghost",500,70,110,80,55,80,105
0124,Jynx,"Poison,Ghost",455,65,50,35,115,95,95
0125,Electabuzz,"Poison,Ghost",490,65,83,57,95,85,105
0126,Magmar,"Poison,Ghost",495,65,95,57,100,85,93
0127,Pinsir,"Poison,Ghost",500,65,125,100,55,70,85
0127,Pinsir Mega Pinsir,"Poison,Ghost",600,65,155,120,65,90,105
0128,Tauros,"Poison,Ghost",490,75,100,95,40,70,110
0128,Tauros Combat Breed,"Poison,Ghost",490,75,110,105,30,70,100
0128,Tauros Blaze Breed,"Poison,Ghost",490,75,110,105,30,70,100
0128,Tauros Aqua Breed,"Poison,Ghost",490,75,110,105,30,70,100
0129,Magikarp,"Poison,Ghost",200,20,10,55,15,20,80
0130,Gyarados,"Poison,Ghost",540,95,125,79,60,100,81
0130,Gyarados Mega Gyarados,"Poison,Ghost",640,95,155,109,70,130,81
0131,Lapras,"Poison,Ghost",535,130,85,80,85,95,60
0132,Ditto,"Poison,Ghost",288,48,48,48,48,48,48
0133,Eevee,"Poison,Ghost",325,55,55,50,45,65,55
0133,Eevee Partner Eevee,"Poison,Ghost",435,65,75,70,65,85,75
0134,Vaporeon,"Poison,Ghost",525,130,65,60,110,95,65
0135,Jolteon,"Poison,Ghost",525,65,65,60,110,95,130
0136,Flareon,"Poison,Ghost",525,65,130,60,95,110,65
0137,Porygon,"Poison,Ghost",395,65,60,70,85,75,40
0138,Omanyte,"Poison,Ghost",355,35,40,100,90,55,35
0139,Omastar,"Poison,Ghost",495,70,60,125,115,70,55
0140,Kabuto,"Poison,Ghost",355,30,80,90,55,45,55
0141,Kabutops,"Poison,Ghost",495,60,115,105,65,70,80
0142,Aerodactyl,"Poison,Ghost",515,80,105,65,60,75,130
0142,Aerodactyl Mega Aerodactyl,"Poison,Ghost",615,80,135,85,70,95,150
0143,Snorlax,"Poison,Ghost",540,160,110,65,65,110,30
0144,Articuno,"Poison,Ghost",580,90,85,100,95,125,85
0144,Articuno Galarian Articuno,"Poison,Ghost",580,90,85,85,125,100,95
0145,Zapdos,"Poison,Ghost",580,90,90,85,125,90,100
0145,Zapdos Galarian Zapdos,"Poison,Ghost",580,90,125,90,85,90,100
0146,Moltres,"Poison,Ghost",580,90,100,90,125,85,90
0146,Moltres Galarian Moltres,"Poison,Ghost",580,90,85,90,100,125,90
0147,Dratini,"Poison,Ghost",300,41,64,45,50,50,50
0148,Dragonair,"Poison,Ghost",420,61,84,65,70,70,70
0149,Dragonite,"Poison,Ghost",600,91,134,95,100,100,80
0150,Mewtwo,"Poison,Ghost",680,106,110,90,154,90,130
0150,Mewtwo Mega Mewtwo X,"Poison,Ghost",780,106,190,100,154,100,130
0150,Mewtwo Mega Mewtwo Y,"Poison,Ghost",780,106,150,70,194,120,140
0151,Mew,"Poison,Ghost",600,100,100,100,100,100,100
0152,Chikorita,"Poison,Ghost",318,45,49,65,49,65,45
0153,Bayleef,"Poison,Ghost",405,60,62,80,63,80,60
0154,Meganium,"Poison,Ghost",525,80,82,100,83,100,80
0155,Cyndaquil,"Poison,Ghost",309,39,52,43,60,50,65
0156,Quilava,"Poison,Ghost",405,58,64,58,80,65,80
0157,Typhlosion,"Poison,Ghost",534,78,84,78,109,85,100
0157,Typhlosion Hisuian Typhlosion,"Poison,Ghost",534,73,84,78,119,85,95
0158,Totodile,"Poison,Ghost",314,50,65,64,44,48,43
0159,Croconaw,"Poison,Ghost",405,65,80,80,59,63,58
0160,Feraligatr,"Poison,Ghost",530,85,105,100,79,83,78
0161,Sentret,"Poison,Ghost",215,35,46,34,35,45,20
0162,Furret,"Poison,Ghost",415,85,76,64,45,55,90
0163,Hoothoot,"Poison,Ghost",262,60,30,30,36,56,50
0164,Noctowl,"Poison,Ghost",452,100,50,50,86,96,70
0165,Ledyba,"Poison,Ghost",265,40,20,30,40,80,55
0166,Ledian,"Poison,Ghost",390,55,35,50,55,110,85
0167,Spinarak,"Poison,Ghost",250,40,60,40,40,40,30
0168,Ariados,"Poison,Ghost",400,70,90,70,60,70,40
0169,Crobat,"Poison,Ghost",535,85,90,80,70,80,130
0170,Chinchou,"Poison,Ghost",330,75,38,38,56,56,67
0171,Lanturn,"Poison,Ghost",460,125,58,58,76,76,67
0172,Pichu,"Poison,Ghost",205,20,40,15,35,35,60
0173,Cleffa,"Poison,Ghost",218,50,25,28,45,55,15
0174,Igglybuff,"Poison,Ghost",210,90,30,15,40,20,15
0175,Togepi,"Poison,Ghost",245,35,20,65,40,65,20
0176,Togetic,"Poison,Ghost",405,55,40,85,80,105,40
0177,Natu,"Poison,Ghost",320,40,50,45,70,45,70
0178,Xatu,"Poison,Ghost",470,65,75,70,95,70,95
0179,Mareep,"Poison,Ghost",280,55,40,40,65,45,35
0180,Flaaffy,"Poison,Ghost",365,70,55,55,80,60,45
0181,Ampharos,"Poison,Ghost",510,90,75,85,115,90,55
0181,Ampharos Mega Ampharos,"Poison,Ghost",610,90,95,105,165,110,45
0182,Bellossom,"Poison,Ghost",490,75,80,95,90,100,50
0183,Marill,"Poison,Ghost",250,70,20,50,20,50,40
0184,Azumarill,"Poison,Ghost",420,100,50,80,60,80,50
0185,Sudowoodo,"Poison,Ghost",410,70,100,115,30,65,30
0186,Politoed,"Poison,Ghost",500,90,75,75,90,100,70
0187,Hoppip,"Poison,Ghost",250,35,35,40,35,55,50
0188,Skiploom,"Poison,Ghost",340,55,45,50,45,65,80
0189,Jumpluff,"Poison,Ghost",460,75,55,70,55,95,110
0190,Aipom,"Poison,Ghost",360,55,70,55,40,55,85
0191,Sunkern,"Poison,Ghost",180,30,30,30,30,30,30
0192,Sunflora,"Poison,Ghost",425,75,75,55,105,85,30
0193,Yanma,"Poison,Ghost",390,65,65,45,75,45,95
0194,Wooper,"Poison,Ghost",210,55,45,45,25,25,15
0194,Wooper Paldean Wooper,"Poison,Ghost",210,55,45,45,25,25,15
0195,Quagsire,"Poison,Ghost",430,95,85,85,65,65,35
0196,Espeon,"Poison,Ghost",525,65,65,60,130,95,110
0197,Umbreon,"Poison,Ghost",525,95,65,110,60,130,65
0198,Murkrow,"Poison,Ghost",405,60,85,42,85,42,91
0199,Slowking,"Poison,Ghost",490,95,75,80,100,110,30
0199,Slowking Galarian Slowking,"Poison,Ghost",490,95,65,80,110,110,30
0200,Misdreavus,"Poison,Ghost",435,60,60,60,85,85,85
0201,Unown,"Poison,Ghost",336,48,72,48,72,48,48
0202,Wobbuffet,"Poison,Ghost",405,190,33,58,33,58,33
0203,Girafarig,"Poison,Ghost",455,70,80,65,90,65,85
0204,Pineco,"Poison,Ghost",290,50,65,90,35,35,15
0205,Forretress,"Poison,Ghost",465,75,90,140,60,60,40
0206,Dunsparce,"Poison,Ghost",415,100,70,70,65,65,45
0207,Gligar,"Poison,Ghost",430,65,75,105,35,65,85
0208,Steelix,"Poison,Ghost",510,75,85,200,55,65,30
0208,Steelix Mega Steelix,"Poison,Ghost",610,75,125,230,55,95,30
0209,Snubbull,"Poison,Ghost",300,60,80,50,40,40,30
0210,Granbull,"Poison,Ghost",450,90,120,75,60,60,45
0211,Qwilfish,"Poison,Ghost",440,65,95,85,55,55,85
0211,Qwilfish Hisuian Qwilfish,"Poison,Ghost",440,65,95,85,55,55,85
0212,Scizor,"Poison,Ghost",500,70,130,100,55,80,65
0212,Scizor Mega Scizor,"Poison,Ghost",600,70,150,140,65,100,75
0213,Shuckle,"Poison,Ghost",505,20,10,230,10,230,5
0214,Heracross,"Poison,Ghost",500,80,125,75,40,95,85
0214,Heracross Mega Heracross,"Poison,Ghost",600,80,185,115,40,105,75
0215,Sneasel,"Poison,Ghost",430,55,95,55,35,75,115
0215,Sneasel Hisuian Sneasel,"Poison,Ghost",430,55,95,55,35,75,115
0216,Teddiursa,"Poison,Ghost",330,60,80,50,50,50,40
0217,Ursaring,"Poison,Ghost",500,90,130,75,75,75,55
0218,Slugma,"Poison,Ghost",250,40,40,40,70,40,20
0219,Magcargo,"Poison,Ghost",430,60,50,120,90,80,30
0220,Swinub,"Poison,Ghost",250,50,50,40,30,30,50
0221,Piloswine,"Poison,Ghost",450,100,100,80,60,60,50
0222,Corsola,"Poison,Ghost",410,65,55,95,65,95,35
0222,Corsola Galarian Corsola,"Poison,Ghost",410,60,55,100,65,100,30
0223,Remoraid,"Poison,Ghost",300,35,65,35,65,35,65
0224,Octillery,"Poison,Ghost",480,75,105,75,105,75,45
0225,Delibird,"Poison,Ghost",330,45,55,45,65,45,75
0226,Mantine,"Poison,Ghost",485,85,40,70,80,140,70
0227,Skarmory,"Poison,Ghost",465,65,80,140,40,70,70
0228,Houndour,"Poison,Ghost",330,45,60,30,80,50,65
0229,Houndoom,"Poison,Ghost",500,75,90,50,110,80,95
0229,Houndoom Mega Houndoom,"Poison,Ghost",600,75,90,90,140,90,115
0230,Kingdra,"Poison,Ghost",540,75,95,95,95,95,85
0231,Phanpy,"Poison,Ghost",330,90,60,60,40,40,40
0232,Donphan,"Poison,Ghost",500,90,120,120,60,60,50
0233,Porygon2,"Poison,Ghost",515,85,80,90,105,95,60
0234,Stantler,"Poison,Ghost",465,73,95,62,85,65,85
0235,Smeargle,"Poison,Ghost",250,55,20,35,20,45,75
0236,Tyrogue,"Poison,Ghost",210,35,35,35,35,35,35
0237,Hitmontop,"Poison,Ghost",455,50,95,95,35,110,70
0238,Smoochum,"Poison,Ghost",305,45,30,15,85,65,65
0239,Elekid,"Poison,Ghost",360,45,63,37,65,55,95
0240,Magby,"Poison,Ghost",365,45,75,37,70,55,83
0241,Miltank,"Poison,Ghost",490,95,80,105,40,70,100
0242,Blissey,"Poison,Ghost",540,255,10,10,75,135,55
0243,Raikou,"Poison,Ghost",580,90,85,75,115,100,115
0244,Entei,"Poison,Ghost",580,115,115,85,90,75,100
0245,Suicune,"Poison,Ghost",580,100,75,115,90,115,85
0246,Larvitar,"Poison,Ghost",300,50,64,50,45,50,41
0247,Pupitar,"Poison,Ghost",410,70,84,70,65,70,51
0248,Tyranitar,"Poison,Ghost",600,100,134,110,95,100,61
0248,Tyranitar Mega Tyranitar,"Poison,Ghost",700,100,164,150,95,120,71
0249,Lugia,"Poison,Ghost",680,106,90,130,90,154,110
0250,Ho-oh,"Poison,Ghost",680,106,130,90,110,154,90
0251,Celebi,"Poison,Ghost",600,100,100,100,100,100,100
0252,Treecko,"Poison,Ghost",310,40,45,35,65,55,70
0253,Grovyle,"Poison,Ghost",405,50,65,45,85,65,95
0254,Sceptile,"Poison,Ghost",530,70,85,65,105,85,120
0254,Sceptile Mega Sceptile,"Poison,Ghost",630,70,110,75,145,85,145
0255,Torchic,"Poison,Ghost",310,45,60,40,70,50,45
0256,Combusken,"Poison,Ghost",405,60,85,60,85,60,55
0257,Blaziken,"Poison,Ghost",530,80,120,70,110,70,80
0257,Blaziken Mega Blaziken,"Poison,Ghost",630,80,160,80,130,80,100
0258,Mudkip,"Poison,Ghost",310,50,70,50,50,50,40
0259,Marshtomp,"Poison,Ghost",405,70,85,70,60,70,50
0260,Swampert,"Poison,Ghost",535,100,110,90,85,90,60
0260,Swampert Mega Swampert,"Poison,Ghost",635,100,150,110,95,110,70
0261,Poochyena,"Poison,Ghost",220,35,55,35,30,30,35
0262,Mightyena,"Poison,Ghost",420,70,90,70,60,60,70
0263,Zigzagoon,"Poison,Ghost",240,38,30,41,30,41,60
0263,Zigzagoon Galarian Zigzagoon,"Poison,Ghost",240,38,30,41,30,41,60
0264,Linoone,"Poison,Ghost",420,78,70,61,50,61,100
0264,Linoone Galarian Linoone,"Poison,Ghost",420,78,70,61,50,61,100
0265,Wurmple,"Poison,Ghost",195,45,45,35,20,30,20
0266,Silcoon,"Poison,Ghost",205,50,35,55,25,25,15
0267,Beautifly,"Poison,Ghost",395,60,70,50,100,50,65
0268,Cascoon,"Poison,Ghost",205,50,35,55,25,25,15
0269,Dustox,"Poison,Ghost",385,60,50,70,50,90,65
0270,Lotad,"Poison,Ghost",220,40,30,30,40,50,30
0271,Lombre,"Poison,Ghost",340,60,50,50,60,70,50
0272,Ludicolo,"Poison,Ghost",480,80,70,70,90,100,70
0273,Seedot,"Poison,Ghost",220,40,40,50,30,30,30
0274,Nuzleaf,"Poison,Ghost",340,70,70,40,60,40,60
0275,Shiftry,"Poison,Ghost",480,90,100,60,90,60,80
0276,Taillow,"Poison,Ghost",270,40,55,30,30,30,85
0277,Swellow,"Poison,Ghost",455,60,85,60,75,50,125
0278,Wingull,"Poison,Ghost",270,40,30,30,55,30,85
0279,Pelipper,"Poison,Ghost",440,60,50,100,95,70,65
0280,Ralts,"Poison,Ghost",198,28,25,25,45,35,40
0281,Kirlia,"Poison,Ghost",278,38,35,35,65,55,50
0282,Gardevoir,"Poison,Ghost",518,68,65,65,125,115,80
0282,Gardevoir Mega Gardevoir,"Poison,Ghost",618,68,85,65,165,135,100
0283,Surskit,"Poison,Ghost",269,40,30,32,50,52,65
0284,Masquerain,"Poison,Ghost",454,70,60,62,100,82,80
0285,Shroomish,"Poison,Ghost",295,60,40,60,40,60,35
0286,Breloom,"Poison,Ghost",460,60,130,80,60,60,70
0287,Slakoth,"Poison,Ghost",280,60,60,60,35,35,30
0288,Vigoroth,"Poison,Ghost",440,80,80,80,55,55,90
0289,Slaking,"Poison,Ghost",670,150,160,100,95,65,100
0290,Nincada,"Poison,Ghost",266,31,45,90,30,30,40
0291,Ninjask,"Poison,Ghost",456,61,90,45,50,50,160
0292,Shedinja,"Poison,Ghost",236,1,90,45,30,30,40
0293,Whismur,"Poison,Ghost",240,64,51,23,51,23,28
0294,Loudred,"Poison,Ghost",360,84,71,43,71,43,48
0295,Exploud,"Poison,Ghost",490,104,91,63,91,73,68
0296,Makuhita,"Poison,Ghost",237,72,60,30,20,30,25
0297,Hariyama,"Poison,Ghost",474,144,120,60,40,60,50
0298,Azurill,"Poison,Ghost",190,50,20,40,20,40,20
0299,Nosepass,"Poison,Ghost",375,30,45,135,45,90,30
0300,Skitty,"Poison,Ghost",260,50,45,45,35,35,50
0301,Delcatty,"Poison,Ghost",400,70,65,65,55,55,90
0302,Sableye,"Poison,Ghost",380,50,75,75,65,65,50
0302,Sableye Mega Sableye,"Poison,Ghost",480,50,85,125,85,115,20
0303,Mawile,"Poison,Ghost",380,50,85,85,55,55,50
0303,Mawile Mega Mawile,"Poison,Ghost",480,50,105,125,55,95,50
0304,Aron,"Poison,Ghost",330,50,70,100,40,40,30
0305,Lairon,"Poison,Ghost",430,60,90,140,50,50,40
0306,Aggron,"Poison,Ghost",530,70,110,180,60,60,50
0306,Aggron Mega Aggron,"Poison,Ghost",630,70,140,230,60,80,50
0307,Meditite,"Poison,Ghost",280,30,40,55,40,55,60
0308,Medicham,"Poison,Ghost",410,60,60,75,60,75,80
0308,Medicham Mega Medicham,"Poison,Ghost",510,60,100,85,80,85,100
0309,Electrike,"Poison,Ghost",295,40,45,40,65,40,65
0310,Manectric,"Poison,Ghost",475,70,75,60,105,60,105
0310,Manectric Mega Manectric,"Poison,Ghost",575,70,75,80,135,80,135
0311,Plusle,"Poison,Ghost",405,60,50,40,85,75,95
0312,Minun,"Poison,Ghost",405,60,40,50,75,85,95
0313,Volbeat,"Poison,Ghost",430,65,73,75,47,85,85
0314,Illumise,"Poison,Ghost",430,65,47,75,73,85,85
0315,Roselia,"Poison,Ghost",400,50,60,45,100,80,65
0316,Gulpin,"Poison,Ghost",302,70,43,53,43,53,40
0317,Swalot,"Poison,Ghost",467,100,73,83,73,83,55
0318,Carvanha,"Poison,Ghost",305,45,90,20,65,20,65
0319,Sharpedo,"Poison,Ghost",460,70,120,40,95,40,95
0319,Sharpedo Mega Sharpedo,"Poison,Ghost",560,70,140,70,110,65,105
0320,Wailmer,"Poison,Ghost",400,130,70,35,70,35,60
0321,Wailord,"Poison,Ghost",500,170,90,45,90,45,60
0322,Numel,"Poison,Ghost",305,60,60,40,65,45,35
0323,Camerupt,"Poison,Ghost",460,70,100,70,105,75,40
0323,Camerupt Mega Camerupt,"Poison,Ghost",560,70,120,100,145,105,20
0324,Torkoal,"Poison,Ghost",470,70,85,140,85,70,20
0325,Spoink,"Poison,Ghost",330,60,25,35,70,80,60
0326,Grumpig,"Poison,Ghost",470,80,45,65,90,110,80
0327,Spinda,"Poison,Ghost",360,60,60,60,60,60,60
